user_id,item_id
0,171
1,246
3,113
5,471
7,171
8,494
10,179
14,74
17,1298
21,238
23,794
24,1852
27,216
31,334
28,771
33,1366
39,1029
30,97
42,637
48,1030
45,637
49,423
52,28
54,866
57,129
60,35
61,559
64,483
65,2418
53,207
55,384
68,1872
69,129
62,108
71,380
72,154
58,271
73,25
74,188
75,93
79,652
37,79
82,218
84,83
77,188
44,1
88,1004
92,25
93,634
99,79
25,652
102,806
104,113
107,286
111,3236
112,619
113,871
114,78
116,34
85,79
89,668
115,176
122,232
123,634
124,467
125,586
127,676
128,519
134,2155
121,108
136,157
135,2078
140,482
141,425
142,337
148,409
150,371
155,267
129,218
157,156
163,653
35,681
166,1134
168,74
172,215
173,1581
174,1713
176,216
175,57
179,67
177,455
182,661
170,497
183,1298
184,573
186,86
188,159
167,681
189,86
105,256
190,183
193,560
194,873
195,299
196,12
198,924
178,377
9,1029
201,113
202,760
203,353
204,176
206,128
205,353
209,360
211,958
213,1796
218,819
219,81
222,377
227,409
228,894
229,696
231,482
232,1254
41,115
236,177
238,232
239,30
244,649
241,271
246,482
245,91
247,377
249,97
252,286
254,1237
255,594
256,425
257,1101
237,129
76,1852
161,255
262,466
263,75
264,123
154,705
268,661
100,48
273,296
270,216
275,81
277,456
20,360
282,309
284,169
285,242
278,619
130,34
286,282
283,144
288,2384
242,471
295,1246
296,407
214,121
297,708
300,83
301,634
310,1659
298,757
299,1238
109,129
316,144
317,368
302,343
318,1366
158,79
319,179
324,43
323,1525
321,3249
322,807
329,91
331,569
337,429
339,1463
311,912
67,93
303,108
343,950
344,522
269,371
346,400
350,688
351,139
341,288
355,121
356,49
360,690
361,894
362,382
363,494
359,267
315,409
336,735
369,335
153,482
374,732
377,188
378,917
330,270
383,271
384,1132
386,416
387,74
385,115
388,522
221,248
392,218
393,657
394,49
395,2678
371,619
398,377
399,100
401,1391
402,113
403,180
400,25
409,466
412,169
414,91
415,155
416,145
417,108
405,267
424,52
225,560
426,814
428,456
208,717
332,971
365,2258
438,2283
439,324
422,661
443,179
445,89
446,198
199,211
448,3060
451,947
452,254
453,489
432,16
454,690
455,409
456,1155
457,49
450,2006
462,1095
464,214
467,91
472,1004
461,367
474,232
427,907
481,2464
479,800
419,1922
482,689
480,100
484,482
487,81
486,1082
488,1038
366,2078
465,5
494,940
497,556
498,717
496,878
489,742
502,139
505,426
510,33
511,288
512,537
442,180
515,1104
447,192
516,1262
517,1076
518,483
519,326
520,426
521,81
503,268
530,296
531,1167
532,271
534,1366
529,67
536,409
537,86
538,915
539,670
541,1543
545,195
546,940
547,728
543,145
549,936
551,1656
266,2280
553,456
548,425
556,288
528,765
557,173
542,364
560,456
561,1238
562,398
563,409
565,177
568,116
572,129
573,248
577,484
492,1480
581,214
582,210
579,1093
554,269
584,661
589,522
306,207
591,1546
588,814
594,1377
597,218
578,19
598,218
599,269
601,690
602,394
607,377
606,1726
609,157
612,336
605,645
604,1654
611,573
614,435
615,466
618,119
622,267
625,814
617,479
627,367
629,139
631,1443
633,91
634,324
636,325
638,537
493,216
626,218
642,236
233,204
649,697
650,1435
647,93
652,407
653,1078
655,435
656,664
390,6579
657,545
623,1380
83,379
661,907
664,283
586,160
485,690
669,97
217,774
674,147
678,221
646,1220
681,265
411,49
683,1999
686,240
687,70
690,2384
348,407
696,243
698,409
697,586
668,377
662,178
705,1004
701,179
709,400
711,397
713,1962
714,349
715,224
688,429
716,493
717,854
720,49
723,661
724,416
725,1517
628,792
730,478
682,866
734,1083
694,1237
740,12
737,1095
743,370
744,740
747,616
748,283
749,522
750,1842
751,981
754,140
756,1036
758,97
759,532
762,1054
